run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_md5	fastq_bytes
ERR14230092	PRJEB60964	SAMEA117640033	ERX13630405	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/092/ERR14230092/ERR14230092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/092/ERR14230092/ERR14230092_2.fastq.gz	d710a1ab0a8e0fddd09b34c4b23209b1;1ee330b4e86707beb614f8bcd4e25c5d	504846254;440966250
ERR14230093	PRJEB60964	SAMEA117640034	ERX13630406	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/093/ERR14230093/ERR14230093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/093/ERR14230093/ERR14230093_2.fastq.gz	81a9e63c6aaabc16efe1735dfc7d24d4;47dafed749dcb2af3f891db312a7502c	545540783;587362098
ERR14230101	PRJEB60964	SAMEA117640042	ERX13630414	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR14230101/ERR14230101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR14230101/ERR14230101_2.fastq.gz	8b0d633496d99f8c64d46496f855c490;857adf0f0139c556afb062334ecdebb1	439794713;424265158
ERR14230103	PRJEB60964	SAMEA117640044	ERX13630416	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR14230103/ERR14230103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR14230103/ERR14230103_2.fastq.gz	125ca989166728312c3c8e9b86ca6d79;75272e267d1568ef31fb229e08757dbb	328393932;341607611
ERR14230107	PRJEB60964	SAMEA117640048	ERX13630420	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR14230107/ERR14230107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR14230107/ERR14230107_2.fastq.gz	2bc4116965a68914a05b06bdeac7b2cc;106696d6ca37246041125b9a5886faf3	392757578;413561081
ERR14230090	PRJEB60964	SAMEA117640031	ERX13630403	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/090/ERR14230090/ERR14230090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/090/ERR14230090/ERR14230090_2.fastq.gz	ecd0d562398e7f0ec2034a6e5af3f6c4;e39ba25fb876ac4f56f46af3ca0ecd49	1408431084;1403634587
ERR14230094	PRJEB60964	SAMEA117640035	ERX13630407	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/094/ERR14230094/ERR14230094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/094/ERR14230094/ERR14230094_2.fastq.gz	6f7e43656e01ec29ec0f72730fe90a84;b0471f60dd3312a60fc0009453f073a1	407002538;422520374
ERR14230102	PRJEB60964	SAMEA117640043	ERX13630415	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR14230102/ERR14230102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR14230102/ERR14230102_2.fastq.gz	653ea28d2c85540d9c15751a2808b5dc;2594b826e4102cc4274ff7880700f266	276431072;295188950
ERR14230106	PRJEB60964	SAMEA117640047	ERX13630419	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14230106/ERR14230106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR14230106/ERR14230106_2.fastq.gz	48ba3b547ddf5ba151b4ba99a69f069d;9ce46abaa743739d56a56b93e7e40255	389429204;410501039
ERR14230091	PRJEB60964	SAMEA117640032	ERX13630404	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/091/ERR14230091/ERR14230091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/091/ERR14230091/ERR14230091_2.fastq.gz	a692db9b87964156160861243de3b99e;462efa042026b940b98ac978756f7b6e	1085901894;1078540890
ERR14230095	PRJEB60964	SAMEA117640036	ERX13630408	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/095/ERR14230095/ERR14230095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/095/ERR14230095/ERR14230095_2.fastq.gz	fe7c4890adbc61affd77cac9899d10cd;e8cf81d33fc9df8803647ec40739eaa6	405771149;410910129
ERR14230096	PRJEB60964	SAMEA117640037	ERX13630409	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/096/ERR14230096/ERR14230096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/096/ERR14230096/ERR14230096_2.fastq.gz	cbafe94a27e930467be7b2be3442cc9a;035f9fbb20ba36c30d4097108d850bf2	384141022;404315535
ERR14230097	PRJEB60964	SAMEA117640038	ERX13630410	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/097/ERR14230097/ERR14230097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/097/ERR14230097/ERR14230097_2.fastq.gz	442b336af4698fbb9aca2b61c9aac756;d897bc5219c7804fe5cdde5b625af0c7	375593227;383171396
ERR14230098	PRJEB60964	SAMEA117640039	ERX13630411	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/098/ERR14230098/ERR14230098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/098/ERR14230098/ERR14230098_2.fastq.gz	8b546203d9aa2414260a36998a6a1050;b4189f117fa407b4ea5d51ebbd313f68	360266924;362097996
ERR14230099	PRJEB60964	SAMEA117640040	ERX13630412	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/099/ERR14230099/ERR14230099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/099/ERR14230099/ERR14230099_2.fastq.gz	e3ea7e1609545fcfac5d18e325c780a6;55a30bc83c7cc256f882975c90d0dae6	348852441;356480242
ERR14230100	PRJEB60964	SAMEA117640041	ERX13630413	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR14230100/ERR14230100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR14230100/ERR14230100_2.fastq.gz	f7e80a92741560f08ae13c2b4f7509d5;72ac6eccd4301aba480eb0389bc91f60	372152171;392497000
ERR14230104	PRJEB60964	SAMEA117640045	ERX13630417	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR14230104/ERR14230104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR14230104/ERR14230104_2.fastq.gz	f99b956812c1278361ff3249afe1ad8a;7dacb27c38692baec174c922a2439f5f	348202983;366957258
ERR14230105	PRJEB60964	SAMEA117640046	ERX13630418	330879	Aspergillus fumigatus Af293	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR14230105/ERR14230105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR14230105/ERR14230105_2.fastq.gz	3adc4cdc7b56bb47e24518b64cd94c84;17e1909799c4e5c1adf5e5a54bdcd444	396564679;407464728
